source,target
fariz1234,MasTBP_
fariz1234,TNasionalis
fariz1234,Takviri
fariz1234,TanpaDelusi
fariz1234,kangdede78
fariz1234,Bijiganja
fariz1234,kurawa
fariz1234,fariz1234
addiems,MarwinSyaf
semiaji_w,adyaksagusti
BiLLRaY_san,wakadol2012
BiLLRaY_san,semiaji_w
BiLLRaY_san,yunantyo2
BiLLRaY_san,basuki_btp
iwancun,addiems
e_ferdh,addiems
sitepu,digembok
DhHeavenonearth,AhokDjarot
iendsaputra_,digembok
rofi_ra43,MarwinSyaf
haerrani,tsamaradki1
awan_sabilah,addiems
MahromIrawan,busu_maju
Dustteam27,eliya_mkom
yunantyo2,BiLLRaY_san
yunantyo2,wakadol2012
yunantyo2,semiaji_w
yunantyo2,yunantyo2
yunantyo2,basuki_btp
rita_tj,BiLLRaY_san
rita_tj,wakadol2012
rita_tj,semiaji_w
rita_tj,yunantyo2
rita_tj,basuki_btp
chi_prizhy91,basuki_btp
IkiMariaAda01,MarwinSyaf
liiisnaaaa,digembok
HeronArt,addiems
ChocoPinkz,triwul82
fr_deni,addiems
oni2526,addiems
erbeyoga,basuki_btp
FandiAch1992,digembok
veronicapms11,digembok
marboen,basuki_btp
tomidossantoso,BiLLRaY_san
tomidossantoso,wakadol2012
tomidossantoso,semiaji_w
tomidossantoso,yunantyo2
tomidossantoso,basuki_btp
octakio,SammiSoh
LCandramurti,basuki_btp
wahyupachot,addiems
SatyoAbdi,anti_densus88
vcephoto,eliya_mkom
d_jraineri,addiems
fennyyta01,haloJakarta
NIC_BARN,addiems
e92216092e1540e,basuki_btp
IrmaSaragi,MarwinSyaf
rofi_ra43,mbahotong69
rofi_ra43,qitmr
rofi_ra43,hariadhi
rofi_ra43,MasTBP_
rofi_ra43,TNasionalis
rofi_ra43,Takviri
rofi_ra43,TanpaDelusi
rofi_ra43,kangdede78
rofi_ra43,Bijiganja
rofi_ra43,kurawa
rofi_ra43,fariz1234
yoga_apn,addiems
euroheri,mbahotong69
euroheri,qitmr
euroheri,hariadhi
euroheri,MasTBP_
euroheri,TNasionalis
euroheri,Takviri
euroheri,TanpaDelusi
euroheri,kangdede78
euroheri,Bijiganja
euroheri,kurawa
euroheri,fariz1234
ManompangFHtp,ManompangFHtp
Inhaaa22,basuki_btp
Mandalariio,basuki_btp
rajawalingepret,LunaSusanto
DIRA_0302,DIRA_0302
ManompangFHtp,ManompangFHtp
ManompangFHtp,AgusYudhoyono
watson_katia,Junaidi_yus
NRP_tkonan,badjakarta
zabiel_03,Mentimoen
NRP_tkonan,MurdaniWisnu
ajmrace,digembok
rofi_ra43,mbahotong69
rofi_ra43,qitmr
rofi_ra43,hariadhi
rofi_ra43,MasTBP_
rofi_ra43,TNasionalis
wakadol2012,BiLLRaY_san
wakadol2012,wakadol2012
wakadol2012,semiaji_w
wakadol2012,yunantyo2
wakadol2012,basuki_btp
NIC_BARN,AhokDjarot
politik_twit,handokov
politik_twit,zul1an
politik_twit,politik_twit
agustina_manga,basuki_btp
mamajalik,addiems
MarkusMsa,basuki_btp
hgberry,mbahotong69
hgberry,Takviri
hgberry,TanpaDelusi
hgberry,TNasionalis
hgberry,MasTBP_
hgberry,hariadhi
hgberry,kangdede78
hgberry,kurawa
1MenujuDamai,eliya_mkom
hgberry,BiLLRaY_san
hgberry,wakadol2012
hgberry,semiaji_w
hgberry,yunantyo2
hgberry,basuki_btp
rienNova,addiems
Santa_lee,basuki_btp
PaddiNikijuluw,basuki_btp
chandra12273938,triwul82
chandra12273938,triwul82
rajawalingepret,AgungWidrajat
fennyyta01,addiems
madsal_59,eliya_mkom
rianasasmita,digembok
EdyToys,anti_densus88
Linuxer,basuki_btp
aprillia_bawono,addiems
Linuxer,basuki_btp
likelon,basuki_btp
hendry_geovani,TaniPutria
fadil_abigail,digembok
SonyaBecks,MarwinSyaf
Hai_Selebriti,addiems
nadzuhadarwati,addiems
YohanKristanto,haloJakarta
YohanKristanto,darwistriadi
gitaaaw_,kingtimothy666
gitaaaw_,jokowi
gitaaaw_,SBYudhoyono
gitaaaw_,basuki_btp
gitaaaw_,AgusYudhoyono
BonaFoncus,RahyaMaya
mrhandoyo_,digembok
mscendani,digembok
JulRaa1,haloJakarta
chandra12273938,hanif_aufar
chandra12273938,AEPishere
chandra12273938,triwul82
chandra12273938,Takviri
danangpanji8,bukalapak
VERLITA__MAE_,fariz1234
NasochiAchmad,basuki_btp
IvanoAprilio,basuki_btp
Marvel_16,shiwie6
demokreatif,kurawa
demokreatif,demokreatif
timtamchoco,basuki_btp
AmaliaAmelCute2,jakartaasoy
rajawalingepret,dikaamahesta
ashofbakiak,basuki_btp
Kang_lunjung,Maya_Rischa
Kang_lunjung,MAIAsangJUARA
jeehadielbanna,SuaraUmat212
Ditriputra,pawonbundo
oji_sakura,eliya_mkom
realprincetotty,mbahotong69
realprincetotty,qitmr
realprincetotty,hariadhi
realprincetotty,MasTBP_
realprincetotty,TNasionalis
realprincetotty,Takviri
realprincetotty,TanpaDelusi
realprincetotty,kangdede78
realprincetotty,Bijiganja
realprincetotty,kurawa
realprincetotty,fariz1234
benedictcg02,basuki_btp
kitsiangfreddy,mbahotong69
kitsiangfreddy,hariadhi
kitsiangfreddy,MasTBP_
kitsiangfreddy,TanpaDelusi
kitsiangfreddy,Takviri
kitsiangfreddy,qitmr
kitsiangfreddy,Bijiganja
kitsiangfreddy,PartaiSocmed
Hendartr,mbahotong69
Hendartr,qitmr
Hendartr,hariadhi
Hendartr,MasTBP_
Hendartr,TNasionalis
Hendartr,Takviri
Hendartr,TanpaDelusi
Hendartr,kangdede78
Hendartr,Bijiganja
Hendartr,kurawa
Hendartr,fariz1234
fx_kristianto,ILoSanre
lia_suwadi,digembok
bangunprasetio,addiems
kokoboikot,addiems
bettoist,addiems
jibrilisme,VeaGy
Linuxer,mbahotong69
Linuxer,qitmr
Linuxer,hariadhi
Linuxer,MasTBP_
Linuxer,TNasionalis
Linuxer,Takviri
Linuxer,TanpaDelusi
Linuxer,kangdede78
Linuxer,Bijiganja
Linuxer,kurawa
Linuxer,fariz1234
bienstak,digembok
Ditriputra,jokoanwar
dewi_amik1987,MarwinSyaf
fx_kristianto,addiems
yudihliang,addiems
stats_indonesia,addiems
mawar_merah2011,AgusYudhoyono
mawar_merah2011,aniesbaswedan
mawar_merah2011,sandiuno
mawar_merah2011,ranabaja
mawar_merah2011,ulil
kurawa,demokreatif
kurawa,kurawa
kurawa,demokreatif
hestrian,addiems
TheodorusLiem,basuki_btp
rita_tj,demokreatif
rita_tj,kurawa
rita_tj,demokreatif
AudreyChristabe,demokreatif
AudreyChristabe,kurawa
AudreyChristabe,demokreatif
Ignastherry,GunRomli
linda_lawliet,basuki_btp
FerryMaitimu,AndreBellixto
chymonx13,addiems
f715eb3d926d416,digembok
wibawacti,addiems
karnisuru,MarwinSyaf
fx_kristianto,FerryMaitimu
fx_kristianto,AhokDjarot
ton_ID,DivHumasPolri
poul_2288,basuki_btp
MariaEmmanuelle,basuki_btp
semiaji_w,BiLLRaY_san
semiaji_w,wakadol2012
semiaji_w,semiaji_w
semiaji_w,yunantyo2
semiaji_w,basuki_btp
andy_bud,basuki_btp
im_bayu18,basuki_btp
ArmanSaragih,basuki_btp
bufian,basuki_btp
IgIone21,MasTBP_
taniamrsh,demokreatif
taniamrsh,kurawa
taniamrsh,demokreatif
ApManan,SurotoRoi
ApManan,yunartowijaya
vincentprathama,digembok
Ninatakbobo,addiems
ritakandi,sitorusdina
ritakandi,basuki_btp
ritakandi,AhokDjarot
rena_issance99,MarwinSyaf
Ciciliabay2,FerryMaitimu
Ciciliabay2,AhokDjarot
Linuxer,triwul82
Terracodec,anti_densus88
auliachy,triwul82
yudiliong2076,AnneSerlo
i_am_fabolous,basuki_btp
TaniPutria,demokreatif
TaniPutria,kurawa
TaniPutria,demokreatif
addiems,rio_ferdinanto
tomsamaja,addiems
NIC_BARN,AhokDjarot
i_am_fabolous,Jasimin_clp
Ciciliabay2,MarwinSyaf
fiefebryana,addiems
RyGirl2,addiems
ajmrace,AhokDjarot
trio_motasa,rio_ferdinanto
eben_heizer,kompascom
jonathandjajadi,basuki_btp
XAMthonebiz,basuki_btp
RexyChristian1,triwul82
pekaklonto,BiLLRaY_san
pekaklonto,wakadol2012
pekaklonto,semiaji_w
pekaklonto,yunantyo2
pekaklonto,basuki_btp
RexyChristian1,triwul82
herlinwang,addiems
ita_toraja,basuki_btp
NimrodQieS,basuki_btp
simsonlawoffice,MarwinSyaf
antimanullang,digembok
hamka_sutra,MarwinSyaf
MuhtarLuthfi2,triwul82
kitsiangfreddy,demokreatif
kitsiangfreddy,kurawa
kitsiangfreddy,demokreatif
FandiAch1992,addiems
heyjmaa,basuki_btp
gala_lima,addiems
IwanAlbert,MarwinSyaf
asnaip22,rio_ferdinanto
auliachy,triwul82
asnaip22,addiems
gundala87,detikcom
gundala87,DivHumasPolri
gundala87,HumasMetroJaya
NIC_BARN,semiaji_w
NimrodQieS,Maya_Rischa
NimrodQieS,AgusYudhoyono
FermiHutagalug,GunRomli
dekiasadi,basuki_btp
NIC_BARN,Takviri
dk0312,addiems
indra_ico_89,demokreatif
indra_ico_89,kurawa
indra_ico_89,demokreatif
redywanjames,DivHumasPolri
ross_show,basuki_btp
Rifal,addiems
triwul82,inyongmanise
BonaFoncus,AhokDjarot
Ivanita_s,Hit_DX
Ale00008,eliya_mkom
rudisafriadi,basuki_btp
auliachy,demokreatif
auliachy,kurawa
auliachy,demokreatif
Junior_Mutant,eliya_mkom
Jakarta_Kece,Hit_DX
solidaritas67,mbahotong69
solidaritas67,Takviri
solidaritas67,TanpaDelusi
solidaritas67,TNasionalis
solidaritas67,MasTBP_
solidaritas67,hariadhi
solidaritas67,kangdede78
solidaritas67,kurawa
yaelah_co,digembok
Linuxer,triwul82
pedronesia,ommad13
Linuxer,triwul82
SaryantiSigit,addiems
do2is,Hit_DX
fariji_lacak,Hit_DX
Linuxer,triwul82
timandteam2,basuki_btp
Linuxer,triwul82
berbulakajo,Hit_DX
solidaritas67,Jasimin_clp
NaniStenny,Hit_DX
indra_ico_89,IskandarSalim
indra_ico_89,yogaadh
indra_ico_89,wastukancono
indra_ico_89,hariprast
indra_ico_89,demokreatif
thya_liem257,Hit_DX
NIC_BARN,edwin_stevanus
NIC_BARN,sindir
NIC_BARN,TanpaDelusi
NIC_BARN,TeddyGusnaidi
Linuxer,haloJakarta
Linuxer,basuki_btp
Linuxer,temanAhok
Linuxer,AhokDjarot
Linuxer,haloJakarta
Linuxer,basuki_btp
Linuxer,temanAhok
Linuxer,AhokDjarot
hariadhi,Hit_DX
sefirdayanti,kingtimothy666
sefirdayanti,jokowi
sefirdayanti,SBYudhoyono
sefirdayanti,basuki_btp
sefirdayanti,AgusYudhoyono
An18Ping,AndreBellixto
sarah404x_ken,Hit_DX
desratobing,addiems
ksatriaselatan,eliya_mkom
sutanto207a1,inyongmanise
utomo_y,anti_densus88
ryanhid31776542,rio_ferdinanto
Je_Ly,Hit_DX
MeCisca81,addiems
suwarnitohan,basuki_btp
illuminaire13,addiems
LCandramurti,MarwinSyaf
Me_AYS,rio_ferdinanto
kangdede78,Hit_DX
Danyswra,addiems
dickyseak,eliya_mkom
yayan_pom2,addiems
Rahmakupink,basuki_btp
Felix_Yong_,Hit_DX
GoTotheJek,addiems
gruntclothing,demokreatif
gruntclothing,kurawa
gruntclothing,demokreatif
ulfirst,YosiMokalu
ommad13,pedronesia
ommad13,ommad13
apil_tanribalii,basuki_btp
KoruptorDor,digembok
a0958187225a,addiems
arifinp76,jasmev2017
arifinp76,hariadhi
arifinp76,thya_liem257
arifinp76,Tere_one34
sagitariusma,Hit_DX
GoTotheJek,digembok
DhaniDianthani,basuki_btp
ChrezL22,arifinp76
ChrezL22,jasmev2017
ChrezL22,hariadhi
ChrezL22,thya_liem257
ChrezL22,Tere_one34
dsimson5,Takviri
TheodorusLiem,kingtimothy666
TheodorusLiem,jokowi
TheodorusLiem,SBYudhoyono
TheodorusLiem,basuki_btp
TheodorusLiem,AgusYudhoyono
arif253162,Hit_DX
RiesIcal,basuki_btp
arifinp76,Hit_DX
Mencreeed,digembok
maszenthir,demokreatif
maszenthir,kurawa
maszenthir,demokreatif
BenedictJeremyL,basuki_btp
RoosZam1,basuki_btp
alvitanrkhrsm,KopiToba
alvitanrkhrsm,SBYudhoyono
Anasssss102,basuki_btp
gederiko1,saidiman
AEPishere,Hit_DX
meilaniadesta,inyongmanise
KimberlyGrint,Hit_DX
myatharva,AgungWidrajat
starbakasoy,demokreatif
starbakasoy,kurawa
starbakasoy,demokreatif
RallyWelfri,hanif_aufar
RallyWelfri,AEPishere
RallyWelfri,triwul82
RallyWelfri,Takviri
wijaya_48,BiLLRaY_san
wijaya_48,wakadol2012
wijaya_48,semiaji_w
wijaya_48,yunantyo2
wijaya_48,basuki_btp
TiAnFe,demokreatif
TiAnFe,kurawa
TiAnFe,demokreatif
SCISTORE_M2M,demokreatif
SCISTORE_M2M,kurawa
SCISTORE_M2M,demokreatif
AstridDj1,addiems
himsas,addiems
BadjaNuswantara,Jakarta_Kece
triwul82,djcenud
sam_mulyawan,basuki_btp
AyyeeAyu,basuki_btp
ddotpramono,demokreatif
ddotpramono,kurawa
ddotpramono,demokreatif
ccpsugiono,digembok
realprincetotty,Hit_DX
JogjaOdyssey,basuki_btp
yohanestarigan,basuki_btp
yogaadh,demokreatif
yogaadh,kurawa
yogaadh,demokreatif
djarotcm,djcenud
aryopramudito2,addiems
triwul82,Hit_DX
ndarvianp,digembok
pendaki_liar411,pollmarket
pendaki_liar411,pollmarket
okyhary79,addiems
BrusWein,addiems
myatharva,BiLLRaY_san
myatharva,wakadol2012
myatharva,semiaji_w
myatharva,yunantyo2
myatharva,basuki_btp
rhiq74,QueenMariaeva
siracunbarat,demokreatif
siracunbarat,kurawa
siracunbarat,demokreatif
VinJap,basuki_btp
pesawaran,hasrat_tanjung
Ze_sukma,djcenud
aisdumais,basuki_btp
rhsoeryo,basuki_btp
adih_prijatna,demokreatif
adih_prijatna,kurawa
adih_prijatna,demokreatif
ricaricaricha,digembok
AndreasNuryant2,rio_ferdinanto
ananta_aj,digembok
ardavicky_,addiems
wangdendo,hermanhuang
wangdendo,addiems
Femimoza,BiLLRaY_san
Femimoza,wakadol2012
Femimoza,semiaji_w
Femimoza,yunantyo2
Femimoza,basuki_btp
Syarman59,djcenud
eykonugroho,Hit_DX
galihjosss,addiems
rhiq74,MarwinSyaf
sadhi_,basuki_btp
freempangestu,digembok
ananta_aj,Hit_DX
mondang_pazza,Aryprasetyo85
nalpha,AhokDjarot
tjahtngina,AndreBellixto
nalpha,pawonbundo
puturivaldi,kingtimothy666
puturivaldi,jokowi
puturivaldi,SBYudhoyono
puturivaldi,basuki_btp
puturivaldi,AgusYudhoyono
nununsativa,sebutsajajoni
BurhanAbe,AhokDjarot
AEPishere,AhokDjarot
nalpha,DNY_2010
NiaRoni6,basuki_btp
nalpha,jamzsay
rendrasd,basuki_btp
sweetharmonyc,Hit_DX
Tere_one34,arifinp76
Tere_one34,jasmev2017
Tere_one34,hariadhi
Tere_one34,thya_liem257
Tere_one34,Tere_one34
caknur14,Negri_Seterah
ronirustamadji,AhokDjarot
nalpha,digembok
Nugraha_AK,basuki_btp
aghoen_jUbir,kingtimothy666
aghoen_jUbir,jokowi
aghoen_jUbir,SBYudhoyono
aghoen_jUbir,basuki_btp
aghoen_jUbir,AgusYudhoyono
nalpha,Takviri
thya_liem257,arifinp76
thya_liem257,jasmev2017
thya_liem257,hariadhi
thya_liem257,thya_liem257
thya_liem257,Tere_one34
xieweijie,RustamIbrahim
AhokCenter,AhokCenter
frida_rahardjo,Hit_DX
sangpemimpi1922,digembok
abah_gigin,triwul82
pekaklonto,RustamIbrahim
manjabangetih,sebutsajajoni
SemdRk,addiems
arif253162,BiLLRaY_san
arif253162,wakadol2012
arif253162,semiaji_w
arif253162,yunantyo2
arif253162,basuki_btp
HamzahKemal,RustamIbrahim
andreashans28,AhokCenter
yuswitarsa,basuki_btp
Tere_one34,Hit_DX
Lampungkurir,hasrat_tanjung
TengkuyungB,GueChokY
erepauji,Chika_Cikuw
rosadellaaa,basuki_btp
solor_,addiems
kiiroiyuuri,basuki_btp
GueChokY,TengkuyungB
beny_sarbani,kompascom
asundamai,digembok
tambunanintan,basuki_btp
tony_eva06,fariji_lacak
Tik_Tob,digembok
rena_issance99,RustamIbrahim
simarmata26,RustamIbrahim
Tere_one34,Negri_Seterah
BankKambing,hasrat_tanjung
Femimoza,RustamIbrahim
hariadhi,demokreatif
hariadhi,kurawa
hariadhi,demokreatif
Tere_one34,RustamIbrahim
arif253162,Negri_Seterah
AgungWidrajat,Hit_DX
arif253162,caknur14
tony_eva06,yason92
tony_eva06,FerryMaitimu
tony_eva06,AhokDjarot
hardy_ginting,BiLLRaY_san
hardy_ginting,wakadol2012
hardy_ginting,semiaji_w
hardy_ginting,yunantyo2
hardy_ginting,basuki_btp
whytlr_,basuki_btp
jhonfrancetigan,basuki_btp
FerryNLangelo,Takviri
HouHendra,addiems
siswantowidyam,Hit_DX
hariadhi,arifinp76
hariadhi,jasmev2017
hariadhi,hariadhi
hariadhi,thya_liem257
hariadhi,Tere_one34
AgungWidrajat,digembok
azharrijal,NetizenTofa
azharrijal,MustofaNahra
RembolistaSae,fadreee
budiarto2303,RustamIbrahim
Djunaidi_H,demokreatif
Djunaidi_H,kurawa
Djunaidi_H,demokreatif
rena_issance99,gerilyapolitik
edosaragih7,kingtimothy666
edosaragih7,jokowi
edosaragih7,SBYudhoyono
edosaragih7,basuki_btp
edosaragih7,AgusYudhoyono
siswantowidyam,Aryprasetyo85
DWardoyi,zulfanny
id_wayan,digembok
nazanaz,addiems
pandji91751538,basuki_btp
anroy_lmozza,basuki_btp
njaknjun,danielswyasachi
pascal234SC,fariji_lacak
SGM_cules,RustamIbrahim
ErickPapua,Hit_DX
rahmadhhadi,addiems
RitMoko,anti_densus88
myatharva,OlgaLy_DIA
myatharva,gerilyapolitik
newagestein,RustamIbrahim
Linuxer,djcenud
Tik_Tob,RustamIbrahim
yuswitarsa,hariadhi
yuswitarsa,hapeproperti
mawar_pedoman,digembok
AhokGarisKeras,AgungWidrajat
raziqhasan,kingtimothy666
raziqhasan,jokowi
raziqhasan,SBYudhoyono
raziqhasan,basuki_btp
raziqhasan,AgusYudhoyono
djarotcm,Aryprasetyo85
pascal234SC,Hit_DX
wulung_siregar,shantiii_1
wulung_siregar,basuki_btp
aldebaranpp,RustamIbrahim
irwanka,SaveIDN
AhokGarisKeras,arifinp76
AhokGarisKeras,jasmev2017
AhokGarisKeras,hariadhi
AhokGarisKeras,thya_liem257
AhokGarisKeras,Tere_one34
AhokGarisKeras,Hit_DX
AhokGarisKeras,TaniPutria
ucup_adriansyah,basuki_btp
xxxxwu,MarwinSyaf
Lukman_HARP,RustamIbrahim
hanifwildan,digembok
anggamalang471,anti_densus88
frida_rahardjo,arifinp76
frida_rahardjo,jasmev2017
frida_rahardjo,hariadhi
frida_rahardjo,thya_liem257
frida_rahardjo,Tere_one34
budhartono,digembok
iyhumngaa,gerilyapolitik
YCH7168,Hit_DX
humaira979,STNatanegara
kim_cobain1,basuki_btp
Kenzmeat,hasrat_tanjung
oviezuka,addiems
DelvanNababan,digembok
hgberry,digembok
juanto_alfian,basuki_btp
terminalagribis,hasrat_tanjung
rifkidj,basuki_btp
hgberry,Hit_DX
amadeus_naomi,addiems
simbokneancuk,djcenud
BudiWinR,digembok
petuq22,basuki_btp
frida_rahardjo,demokreatif
frida_rahardjo,kurawa
frida_rahardjo,demokreatif
Cita_Citra88,Hit_DX
Faisal_Eryanto,Hit_DX
badjakarta,Hit_DX
bismasuryanaaaa,Hit_DX
DitaFlorencia_,Hit_DX
Yopie_Alex,FerryMaitimu
Yopie_Alex,AhokDjarot
Ogie_Setiawan_,basuki_btp
siswantowidyam,djarotcm
FreeAhok,Hit_DX
damen_se,addiems
Takviri,gerilyapolitik
mbahotong69,Lukman_HARP
esthervaw,triwul82
may_tas,demokreatif
may_tas,kurawa
may_tas,demokreatif
rika_tatum,Takviri
rika_tatum,JktMajuBersama
myatharva,digembok
ANDRE__OCTA,LoveNiey
ANDRE__OCTA,AbdiDalem3000
ANDRE__OCTA,PartaiSocmed
ANDRE__OCTA,eliya_mkom
ANDRE__OCTA,ANDRE__OCTA
hariadhi,kurmendafo
AdhityaRahardja,addiems
thomson1109,basuki_btp
andysyahalam,kingtimothy666
andysyahalam,jokowi
andysyahalam,SBYudhoyono
andysyahalam,basuki_btp
andysyahalam,AgusYudhoyono
Nakpinggir,kurmendafo
Sastrogender,addiems
AhokGarisKeras,kurmendafo
GlennCh,AhokDjarot
karnidachi,addiems
RallyWelfri,fariji_lacak
zakymahendra,Zastrouw
MelayuSejahtera,eliya_mkom
mawar_pedoman,gerilyapolitik
hendriktjia68,basuki_btp
mukt10,TrioMacari2000
newagestein,ILoSanre
ahmadyaniritong,RustamIbrahim
perrmencaca,kurmendafo
davnitar,digembok
eykonugroho,kurmendafo
asdilback,Hit_DX
Leon04099764,kurmendafo
nuelfebrian1,kingtimothy666
nuelfebrian1,jokowi
nuelfebrian1,SBYudhoyono
nuelfebrian1,basuki_btp
nuelfebrian1,AgusYudhoyono
marcel_prawira,gerilyapolitik
kafahafiidh,digembok
Ruslam42,digembok
myatharva,digembok
ekoblora77,AgungWidrajat
martian_arya12r,hariankompas
martian_arya12r,haerul_akbar31r
qsg2600,basuki_btp
reistya,kurmendafo
solidaritas67,MarwinSyaf
andjaniandjani,arifinp76
andjaniandjani,jasmev2017
andjaniandjani,hariadhi
andjaniandjani,thya_liem257
andjaniandjani,Tere_one34
BudiWinR,Hit_DX
fikonugraha25,MasTBP_
myatharva,digembok
Hendartr,myatharva
Hendartr,digembok
BudiWinR,F_Dnino
