source,target
SalmanAfaridzi,sylviana_murni
aditiaade,AYOJakarta2017
aditiaade,AgusYudhoyono
aditiaade,sylviana_murni
aditiaade,hattarajasa
aditiaade,AYOJakarta2017
aditiaade,AgusYudhoyono
aditiaade,sylviana_murni
aditiaade,hattarajasa
aditiaade,SBYudhoyono
Yusufagung94,bhudayssss
lj_ican,AYOJakarta2017
Yusufagung94,MMaulana_Iqbal
Yusufagung94,dikaamahestaa
Yusufagung94,dellyocta
ayuarani,AYOJakarta2017
Yusufagung94,MMaulana_Iqbal
Yusufagung94,hattarajasa
Yusufagung94,ayuarani
Yusufagung94,AYOJakarta2017
risdaaayyy,AYOJakarta2017
risdaaayyy,AgusYudhoyono
risdaaayyy,SBYudhoyono
risdaaayyy,hattarajasa
Yusufagung94,omat1411
Yusufagung94,AYOJakarta2017
Yusufagung94,AgusYudhoyono
Yusufagung94,sylviana_murni
karib_ahy,lj_ican
karib_ahy,AYOJakarta2017
Yusufagung94,lj_ican
Yusufagung94,AYOJakarta2017
karib_ahy,AlfatihHs
Yusufagung94,AlfatihHs
Yusufagung94,MMaulana_Iqbal
Yusufagung94,omat1411
Yusufagung94,AYOJakarta2017
Yusufagung94,AgusYudhoyono
Risma_hans,PakarLogika
alvarrow80,agussylviDKI
Berjuang12344,ZonaPontianak
Berjuang12344,ayuarani
Berjuang12344,AYOJakarta2017
Berjuang12344,sussy21
Berjuang12344,lj_ican
Berjuang12344,AYOJakarta2017
risdaaayyy,AYOJakarta2017
NIslamie,JKT_LIFE
NIslamie,ZonaDepok
mdyanasavitri,AYOJakarta2017
Berjuang12344,dikaamahestaa
mdyanasavitri,AYOJakarta2017
DhanAsyik,InfoBogorCity
mahardikadirga,AYOJakarta2017
bhudayssss,Kabar_Jakarta
bhudayssss,Info_Ciputat
lovebird_hanger,PakarLogika
rifqii888,dimasprakbar
eliya_mkom,Heine_Nababan
Tornado15536354,bhudayssss
muzrilmusa,AYOJakarta2017
dinasofiya89,AlfatihHs
denisjulius10,AlfatihHs
daniarfarah,AlfatihHs
diana_laras90,AlfatihHs
tatatalitaaa,AlfatihHs
dissyamira,AlfatihHs
dytta_oliv,AlfatihHs
davinariana,AlfatihHs
dirsamaria,AlfatihHs
dindaarini95,AlfatihHs
Difakatrina78,AlfatihHs
MMaulana_Iqbal,AlfatihHs
kasepth,Heine_Nababan
daniarfarah,dstyrhmn
diana_laras90,dstyrhmn
Difakatrina78,dstyrhmn
davinariana,dstyrhmn
dytta_oliv,dstyrhmn
dindaarini95,dstyrhmn
dinasofiya89,dstyrhmn
dissyamira,dstyrhmn
denisjulius10,dstyrhmn
dirsamaria,dstyrhmn
tatatalitaaa,dstyrhmn
Berjuang12344,tatatalitaaa
kulojowo,AlfatihHs
kulojowo,lj_ican
kulojowo,AYOJakarta2017
Bedoel_Kelana,ZonaDepok
muzrilmusa,AYOJakarta2017
nurendahracm,AYOJakarta2017
MMaulana_Iqbal,lj_ican
MMaulana_Iqbal,AYOJakarta2017
MMaulana_Iqbal,AlfatihHs
aditiaade,AYOJakarta2017
aditiaade,AgusYudhoyono
aditiaade,sylviana_murni
risdaaayyy,AYOJakarta2017
Berjuang12344,diana_laras90
Berjuang12344,dinasofiya89
Tornado15536354,muzrilmusa
Tornado15536354,AYOJakarta2017
risdaaayyy,sylviana_murni
risdaaayyy,AYOJakarta_2017
risdaaayyy,AYOJakarta2017
ChyntiaChusnul,AgusYudhoyono
ChyntiaChusnul,SBYudhoyono
ChyntiaChusnul,hattarajasa
ChyntiaChusnul,sylviana_murni
ChyntiaChusnul,AYOJakarta2017
PakarLogika,Jovita_SHN
aditiaade,AYOJakarta2017
aditiaade,AgusYudhoyono
aditiaade,sylviana_murni
aditiaade,hattarajasa
RifkiRosaldie,dstyrhmn
nurendahracm,AYOJakarta2017
arbibu1993,AYOJakarta2017
aditiaade,AYOJakarta2017
ayuarani,AYOJakarta2017
aisyahridla,aditiaade
aisyahridla,AYOJakarta2017
aisyahridla,rgssaukah
ayuarani,AYOJakarta2017
kopicazador,PakarLogika
muzrilmusa,AYOJakarta2017
muzrilmusa,hattarajasa
muzrilmusa,SBYudhoyono
muzrilmusa,AgusYudhoyono
JunaediNjoto,ZaraZettiraZZ
aeisyah0606,InfoBogorCity
hodag_lady7,InfoBogorCity
aris_apuesto,omat1411
aris_apuesto,AYOJakarta2017
aris_apuesto,AgusYudhoyono
aris_apuesto,sylviana_murni
nurendahracm,AYOJakarta2017
JH_talk_2_U,muzrilmusa
JH_talk_2_U,AYOJakarta2017
mahardikadirga,AYOJakarta2017
aditiaade,AYOJakarta2017
aditiaade,AgusYudhoyono
aditiaade,sylviana_murni
aditiaade,hattarajasa
gaunks1,Heine_Nababan
risdaaayyy,AYOJakarta2017
risdaaayyy,AgusYudhoyono
risdaaayyy,sylviana_murni
aditiaade,AYOJakarta2017
aditiaade,AgusYudhoyono
aditiaade,sylviana_murni
aditiaade,hattarajasa
fajar220191,Heine_Nababan
aditiaade,AYOJakarta2017
aditiaade,AgusYudhoyono
aditiaade,sylviana_murni
td5154,InfoBekasiCity
yohankuy,risdaaayyy
yohankuy,AYOJakarta2017
yohankuy,AgusYudhoyono
yohankuy,sylviana_murni
andaandirahman,risdaaayyy
andaandirahman,AYOJakarta2017
andaandirahman,AgusYudhoyono
andaandirahman,sylviana_murni
solsolmat,risdaaayyy
solsolmat,AYOJakarta2017
solsolmat,AgusYudhoyono
solsolmat,sylviana_murni
matsolsol,risdaaayyy
matsolsol,AYOJakarta2017
matsolsol,AgusYudhoyono
matsolsol,sylviana_murni
aristaul1,risdaaayyy
aristaul1,AYOJakarta2017
aristaul1,AgusYudhoyono
aristaul1,sylviana_murni
rafidman,risdaaayyy
rafidman,AYOJakarta2017
rafidman,AgusYudhoyono
rafidman,sylviana_murni
nurdinsantos,risdaaayyy
nurdinsantos,AYOJakarta2017
nurdinsantos,AgusYudhoyono
nurdinsantos,sylviana_murni
salbila_ratu,risdaaayyy
salbila_ratu,AYOJakarta2017
salbila_ratu,AgusYudhoyono
salbila_ratu,sylviana_murni
aditiaade,AYOJakarta2017
aditiaade,AgusYudhoyono
aditiaade,sylviana_murni
ChristiIndahR,risdaaayyy
ChristiIndahR,AYOJakarta2017
ChristiIndahR,AgusYudhoyono
ChristiIndahR,sylviana_murni
KiWirit,risdaaayyy
KiWirit,AYOJakarta2017
KiWirit,AgusYudhoyono
KiWirit,sylviana_murni
belarakyatyuk,risdaaayyy
belarakyatyuk,AYOJakarta2017
belarakyatyuk,AgusYudhoyono
belarakyatyuk,sylviana_murni
IgnatiusKhrisna,risdaaayyy
IgnatiusKhrisna,AYOJakarta2017
IgnatiusKhrisna,AgusYudhoyono
IgnatiusKhrisna,sylviana_murni
lobanghitam,risdaaayyy
lobanghitam,AYOJakarta2017
lobanghitam,AgusYudhoyono
lobanghitam,sylviana_murni
dhipaprasta,risdaaayyy
dhipaprasta,AYOJakarta2017
dhipaprasta,AgusYudhoyono
dhipaprasta,sylviana_murni
IsroMileki,risdaaayyy
IsroMileki,AYOJakarta2017
IsroMileki,AgusYudhoyono
IsroMileki,sylviana_murni
TriNandaGhani,risdaaayyy
TriNandaGhani,AYOJakarta2017
TriNandaGhani,AgusYudhoyono
TriNandaGhani,sylviana_murni
SMujaer,risdaaayyy
SMujaer,AYOJakarta2017
SMujaer,AgusYudhoyono
SMujaer,sylviana_murni
aditiaade,AYOJakarta2017
aditiaade,AgusYudhoyono
aditiaade,sylviana_murni
aditiaade,hattarajasa
muzrilmusa,AYOJakarta2017
muzrilmusa,hattarajasa
muzrilmusa,SBYudhoyono
muzrilmusa,AgusYudhoyono
davinariana,muzrilmusa
davinariana,AYOJakarta2017
davinariana,hattarajasa
davinariana,SBYudhoyono
davinariana,AgusYudhoyono
daniarfarah,muzrilmusa
daniarfarah,AYOJakarta2017
daniarfarah,hattarajasa
daniarfarah,SBYudhoyono
daniarfarah,AgusYudhoyono
dirsamaria,muzrilmusa
dirsamaria,AYOJakarta2017
dirsamaria,hattarajasa
dirsamaria,SBYudhoyono
dirsamaria,AgusYudhoyono
dissyamira,muzrilmusa
dissyamira,AYOJakarta2017
dissyamira,hattarajasa
dissyamira,SBYudhoyono
dissyamira,AgusYudhoyono
Difakatrina78,muzrilmusa
Difakatrina78,AYOJakarta2017
Difakatrina78,hattarajasa
Difakatrina78,SBYudhoyono
Difakatrina78,AgusYudhoyono
denisjulius10,muzrilmusa
denisjulius10,AYOJakarta2017
denisjulius10,hattarajasa
denisjulius10,SBYudhoyono
denisjulius10,AgusYudhoyono
tatatalitaaa,muzrilmusa
tatatalitaaa,AYOJakarta2017
tatatalitaaa,hattarajasa
tatatalitaaa,SBYudhoyono
tatatalitaaa,AgusYudhoyono
diana_laras90,muzrilmusa
diana_laras90,AYOJakarta2017
diana_laras90,hattarajasa
diana_laras90,SBYudhoyono
diana_laras90,AgusYudhoyono
dinasofiya89,muzrilmusa
dinasofiya89,AYOJakarta2017
dinasofiya89,hattarajasa
dinasofiya89,SBYudhoyono
dinasofiya89,AgusYudhoyono
dytta_oliv,muzrilmusa
dytta_oliv,AYOJakarta2017
dytta_oliv,hattarajasa
dytta_oliv,SBYudhoyono
dytta_oliv,AgusYudhoyono
dindaarini95,muzrilmusa
dindaarini95,AYOJakarta2017
dindaarini95,hattarajasa
dindaarini95,SBYudhoyono
dindaarini95,AgusYudhoyono
haikalzd2,AstoRiskon
FahmieAssaifi89,AYOJakarta2017
FahmieAssaifi89,SBYudhoyono
FahmieAssaifi89,hattarajasa
FahmieAssaifi89,AgusYudhoyono
rhandysept,rgssaukah
rhandysept,AlfatihHs
rhandysept,lj_ican
rhandysept,muzrilmusa
rhandysept,AYOJakarta2017
rhandysept,hattarajasa
rhandysept,SBYudhoyono
rhandysept,AgusYudhoyono
rhandysept,safityani
ayuarani,AYOJakarta2017
ayuarani,hattarajasa
ayuarani,AgusYudhoyono
ayuarani,sylviana_murni
yudho_getrock,Heine_Nababan
rhandysept,arbibu1993
rima_dazira,acepaamiruddin
rima_dazira,AYOJakarta2017
rima_dazira,AgusYudhoyono
rima_dazira,sylviana_murni
rima_dazira,SBYudhoyono
rhandysept,AlfatihHs
rhandysept,rgssaukah
ayuarani,AYOJakarta2017
ayuarani,hattarajasa
ayuarani,AgusYudhoyono
ayuarani,sylviana_murni
rhandysept,Fan_Net_e
rhandysept,nurulfdila
risdaaayyy,AYOJakarta2017
dedenovel07,AYOJakarta2017
dedenovel07,hattarajasa
dedenovel07,SBYudhoyono
dedenovel07,AgusYudhoyono
dedenovel07,sylviana_murni
rhandysept,AlfatihHs
Commed1piece,PakarLogika
bhudayssss,iffiarsy
bhudayssss,dstyrhmn
stgeen,Takviri
iffiarsy,AYOJakarta2017
iffiarsy,davinariana
ayuarani,AYOJakarta2017
ayuarani,hattarajasa
ayuarani,AgusYudhoyono
ayuarani,sylviana_murni
azoel_together,Heine_Nababan
dedenovel07,AYOJakarta2017
dedenovel07,hattarajasa
dedenovel07,SBYudhoyono
Sabaoth_,na_dirs
Sabaoth_,ulil
ayuarani,AYOJakarta2017
DeckyArisandy90,AYOJakarta2017
DeckyArisandy90,AgusYudhoyono
DeckyArisandy90,sylviana_murni
DeckyArisandy90,SBYudhoyono
hurienaini,panca66
anggunnAJM,AYOJakarta2017
anggunnAJM,AgusYudhoyono
anggunnAJM,SBYudhoyono
arfantejha_ats,Heine_Nababan
ayuarani,AYOJakarta2017
